"","CI5_continent","registry","registry_lab","continent_lab"
"1",1,12,"Algeria","Africa"
"2",1,404,"Kenya","Africa"
"3",1,690,"Seychelles","Africa"
"4",1,710,"South Africa","Africa"
"5",1,716,"Zimbabwe, Harare: African","Africa"
"6",1,800,"Uganda","Africa"
"7",2,32,"Argentina","South America"
"8",2,76,"Brazil","South America"
"9",2,152,"Chile","South America"
"10",2,170,"Colombia","South America"
"11",2,188,"Costa Rica","South America"
"12",2,218,"Ecuador","South America"
"13",2,254,"French Guiana","South America"
"14",2,388,"Jamaica","South America"
"15",2,474,"Martinique","South America"
"16",2,604,"Peru","South America"
"17",2,630,"Puerto Rico","South America"
"18",2,858,"Uruguay","South America"
"19",3,124,"Canada","North America"
"20",3,840,"United States of America","North America"
"21",3,842,"USA: Black","North America"
"22",3,841,"USA: White","North America"
"23",4,48,"Bahrain: Bahraini","Asia"
"24",4,96,"Brunei Darussalam","Asia"
"25",4,156,"China","Asia"
"26",4,356,"India","Asia"
"27",4,364,"Iran (Islamic Republic of)","Asia"
"28",4,376,"Israel","Asia"
"29",4,392,"Japan","Asia"
"30",4,400,"Jordan","Asia"
"31",4,410,"Republic of Korea","Asia"
"32",4,414,"Kuwait","Asia"
"33",4,458,"Malaysia","Asia"
"34",4,608,"Philippines","Asia"
"35",4,634,"Qatar: Qatari","Asia"
"36",4,682,"Saudi Arabia, Riyadh: Saudi","Asia"
"37",4,704,"Viet Nam","Asia"
"38",4,764,"Thailand","Asia"
"39",4,792,"Turkey","Asia"
"40",5,40,"Austria","Europe"
"41",5,56,"Belgium","Europe"
"42",5,100,"Bulgaria","Europe"
"43",5,112,"Belarus","Europe"
"44",5,191,"Croatia","Europe"
"45",5,196,"Cyprus","Europe"
"46",5,203,"Czech Republic","Europe"
"47",5,208,"Denmark","Europe"
"48",5,233,"Estonia","Europe"
"49",5,250,"France","Europe"
"50",5,276,"Germany","Europe"
"51",5,352,"Iceland","Europe"
"52",5,372,"Ireland","Europe"
"53",5,380,"Italy","Europe"
"54",5,428,"Latvia","Europe"
"55",5,440,"Lithuania","Europe"
"56",5,470,"Malta","Europe"
"57",5,528,"Netherlands","Europe"
"58",5,578,"Norway","Europe"
"59",5,616,"Poland","Europe"
"60",5,620,"Portugal","Europe"
"61",5,643,"Russian Federation","Europe"
"62",5,703,"Slovakia","Europe"
"63",5,705,"Slovenia","Europe"
"64",5,724,"Spain","Europe"
"65",5,756,"Switzerland","Europe"
"66",5,804,"Ukraine","Europe"
"67",5,826,"United Kingdom of Great Britain and Northern Ireland","Europe"
"68",6,36,"Australia","Oceania"
"69",6,540,"New Caledonia","Oceania"
"70",6,554,"New Zealand","Oceania"
