,registry,registry_lab,ethnic_group,CI5_continent,continent_lab
1,1200199,"Algeria, Sétif (2008-2011)",99,1,Africa
2,1200399,"Algeria, Batna (2008-2012)",99,1,Africa
3,40400299,"Kenya, Nairobi (2008-2012)",99,1,Africa
4,69000099,Seychelles (2009-2012),99,1,Africa
5,71000199,"South Africa, Eastern Cape (2008-2012)",99,1,Africa
6,71600270,"Zimbabwe, Harare: African (2010-2012)",70,1,Africa
7,80000299,"Uganda, Kyadondo County (2008-2012)",99,1,Africa
8,3200599,"Argentina, Entre Rios Province (2008-2011)",99,2,South America
9,3200699,"Argentina, Córdoba (2008-2012)",99,2,South America
10,3200799,"Argentina, Mendoza (2008-2012)",99,2,South America
11,3200899,"Argentina, Tierra del Fuego (2008-2012)",99,2,South America
12,3201199,"Argentina, Chaco (2008-2012)",99,2,South America
13,7600299,"Brazil, Goiânia (2008-2012)",99,2,South America
14,7600599,"Brazil, Florianopolis (2008-2010)",99,2,South America
15,7601199,"Brazil, Aracaju (2008-2012)",99,2,South America
16,7601299,"Brazil, Curitiba (2008-2011)",99,2,South America
17,7601799,"Brazil, Jau (2008-2012)",99,2,South America
18,7602099,"Brazil, Pocos de Caldas (2008-2011)",99,2,South America
19,15200199,"Chile, Valdivia (2008-2012)",99,2,South America
20,15200299,"Chile, Bío Bío Province (2008-2012)",99,2,South America
21,15200399,"Chile, Region of Antofagasta (2008-2010)",99,2,South America
22,15200599,"Chile, Concepcion (2008-2010)",99,2,South America
23,17000199,"Colombia, Cali (2008-2012)",99,2,South America
24,17000299,"Colombia, Bucaramanga (2008-2012)",99,2,South America
25,17000399,"Colombia, Manizales (2008-2012)",99,2,South America
26,17000499,"Colombia, Pasto (2008-2012)",99,2,South America
27,18800099,Costa Rica (2008-2011),99,2,South America
28,21800199,"Ecuador, Quito (2008-2012)",99,2,South America
29,21800299,"Ecuador, Cuenca (2008-2012)",99,2,South America
30,21800399,"Ecuador, Guayaquil (2008-2012)",99,2,South America
31,21800499,"Ecuador, Loja (2008-2010)",99,2,South America
32,21800599,"Ecuador, Manabi (2008-2012)",99,2,South America
33,25009199,"France, Martinique (2008-2012)",99,2,South America
34,25009499,French Guiana (2008-2012),99,2,South America
35,38800199,"Jamaica, Kingston and St Andrew (2008-2011)",99,2,South America
36,60400299,"Peru, Lima (2010-2012)",99,2,South America
37,63000099,"USA, Puerto Rico (2008-2012)",99,2,South America
38,85800099,Uruguay (2008-2012),99,2,South America
39,12400199,"Canada, Alberta (2008-2012)",99,3,North America
40,12400299,"Canada, British Columbia (2008-2012)",99,3,North America
41,12400399,"Canada, Manitoba (2008-2012)",99,3,North America
42,12400499,"Canada, Northwest Territories (2008-2012)",99,3,North America
43,12400599,"Canada, New Brunswick (2008-2012)",99,3,North America
44,12400699,"Canada, Nova Scotia (2008-2012)",99,3,North America
45,12400799,"Canada, Prince Edward Island (2008-2012)",99,3,North America
46,12400899,"Canada, Newfoundland and Labrador (2008-2012)",99,3,North America
47,12400999,"Canada, Yukon (2008-2012)",99,3,North America
48,12401099,"Canada, Ontario (2008-2012)",99,3,North America
49,12401299,"Canada, Saskatchewan (2008-2012)",99,3,North America
50,12401399,"Canada, Nunavut (2008-2012)",99,3,North America
51,84000010,USA: White (2008-2012),10,3,North America
52,84000030,USA: Black (2008-2012),30,3,North America
53,84000099,USA (2008-2012),99,3,North America
54,84000210,"USA, California, San Francisco Bay Area: White (2008-2012)",10,3,North America
55,84000220,"USA, California, San Francisco Bay Area: Chinese (2008-2012)",20,3,North America
56,84000221,"USA, California, San Francisco Bay Area: Japanese (2008-2012)",21,3,North America
57,84000223,"USA, California, San Francisco Bay Area: Filipino (2008-2012)",23,3,North America
58,84000230,"USA, California, San Francisco Bay Area: Black (2008-2012)",30,3,North America
59,84000250,"USA, California, San Francisco Bay Area: Hispanic White (2008-2012)",50,3,North America
60,84000260,"USA, California, San Francisco Bay Area: Non-Hispanic White (2008-2012)",60,3,North America
61,84000299,"USA, California, San Francisco Bay Area (2008-2012)",99,3,North America
62,84000310,"USA, California, Los Angeles County: White (2008-2012)",10,3,North America
63,84000320,"USA, California, Los Angeles County: Chinese (2008-2012)",20,3,North America
64,84000322,"USA, California, Los Angeles County: Korean (2008-2012)",22,3,North America
65,84000323,"USA, California, Los Angeles County: Filipino (2008-2012)",23,3,North America
66,84000330,"USA, California, Los Angeles County: Black (2008-2012)",30,3,North America
67,84000350,"USA, California, Los Angeles County: Hispanic White (2008-2012)",50,3,North America
68,84000360,"USA, California, Los Angeles County: Non-Hispanic White (2008-2012)",60,3,North America
69,84000399,"USA, California, Los Angeles County (2008-2012)",99,3,North America
70,84000410,"USA, Connecticut: White (2008-2012)",10,3,North America
71,84000430,"USA, Connecticut: Black (2008-2012)",30,3,North America
72,84000499,"USA, Connecticut (2008-2012)",99,3,North America
73,84000510,"USA, Georgia, Atlanta: White (2008-2012)",10,3,North America
74,84000530,"USA, Georgia, Atlanta: Black (2008-2012)",30,3,North America
75,84000599,"USA, Georgia, Atlanta (2008-2012)",99,3,North America
76,84000699,"USA, Iowa (2008-2012)",99,3,North America
77,84000710,"USA, Louisiana, New Orleans: White (2008-2012)",10,3,North America
78,84000730,"USA, Louisiana, New Orleans: Black (2008-2012)",30,3,North America
79,84000799,"USA, Louisiana, New Orleans (2008-2012)",99,3,North America
80,84000810,"USA, Michigan, Detroit: White (2008-2012)",10,3,North America
81,84000830,"USA, Michigan, Detroit: Black (2008-2012)",30,3,North America
82,84000899,"USA, Michigan, Detroit (2008-2012)",99,3,North America
83,84000910,"USA, New Mexico: White (2008-2012)",10,3,North America
84,84000950,"USA, New Mexico: Hispanic White (2008-2012)",50,3,North America
85,84000960,"USA, New Mexico: Non-Hispanic White (2008-2012)",60,3,North America
86,84000999,"USA, New Mexico (2008-2012)",99,3,North America
87,84001299,"USA, Utah (2008-2012)",99,3,North America
88,84001399,"USA, Washington, Seattle (2008-2012)",99,3,North America
89,84001510,"USA, New Jersey: White (2008-2012)",10,3,North America
90,84001530,"USA, New Jersey: Black (2008-2012)",30,3,North America
91,84001599,"USA, New Jersey (2008-2012)",99,3,North America
92,84001610,"USA, New York State: White (2008-2012)",10,3,North America
93,84001630,"USA, New York State: Black (2008-2012)",30,3,North America
94,84001699,"USA, New York State (2008-2012)",99,3,North America
95,84001999,"USA, Kentucky (2008-2012)",99,3,North America
96,84002010,"USA, SEER (9 registries): White (2008-2012)",10,3,North America
97,84002030,"USA, SEER (9 registries): Black (2008-2012)",30,3,North America
98,84002099,"USA, SEER (9 registries) (2008-2012)",99,3,North America
99,84002210,"USA, Louisiana: White (2008-2012)",10,3,North America
100,84002230,"USA, Louisiana: Black (2008-2012)",30,3,North America
101,84002299,"USA, Louisiana (2008-2012)",99,3,North America
102,84002410,"USA, SEER (18 registries): White (2008-2012)",10,3,North America
103,84002429,"USA, SEER (18 registries): Asian and Pacific Islander (2008-2012)",29,3,North America
104,84002430,"USA, SEER (18 registries): Black (2008-2012)",30,3,North America
105,84002450,"USA, SEER (18 registries): Hispanic White (2008-2012)",50,3,North America
106,84002460,"USA, SEER (18 registries): Non-Hispanic White (2008-2012)",60,3,North America
107,84002499,"USA, SEER (18 registries) (2008-2012)",99,3,North America
108,84002510,"USA, California: White (2008-2012)",10,3,North America
109,84002530,"USA, California: Black (2008-2012)",30,3,North America
110,84002542,"USA, California: American Indian (2008-2012)",42,3,North America
111,84002599,"USA, California (2008-2012)",99,3,North America
112,84004010,"USA, Arkansas: White (2008-2012)",10,3,North America
113,84004030,"USA, Arkansas: Black (2008-2012)",30,3,North America
114,84004099,"USA, Arkansas (2008-2012)",99,3,North America
115,84004110,"USA, Delaware: White (2008-2012)",10,3,North America
116,84004130,"USA, Delaware: Black (2008-2012)",30,3,North America
117,84004199,"USA, Delaware (2008-2012)",99,3,North America
118,84004210,"USA, Maryland: White (2008-2012)",10,3,North America
119,84004230,"USA, Maryland: Black (2008-2012)",30,3,North America
120,84004299,"USA, Maryland (2008-2012)",99,3,North America
121,84004399,"USA, Minnesota (2008-2012)",99,3,North America
122,84004499,"USA, Mississippi (2008-2012)",99,3,North America
123,84004510,"USA, North Carolina: White (2008-2012)",10,3,North America
124,84004530,"USA, North Carolina: Black (2008-2012)",30,3,North America
125,84004599,"USA, North Carolina (2008-2012)",99,3,North America
126,84004699,"USA, North Dakota (2008-2012)",99,3,North America
127,84004710,"USA, Nebraska: White (2008-2012)",10,3,North America
128,84004730,"USA, Nebraska: Black (2008-2012)",30,3,North America
129,84004799,"USA, Nebraska (2008-2012)",99,3,North America
130,84004899,"USA, New Hampshire (2008-2012)",99,3,North America
131,84004910,"USA, Nevada: White (2008-2012)",10,3,North America
132,84004930,"USA, Nevada: Black (2008-2012)",30,3,North America
133,84004999,"USA, Nevada (2008-2012)",99,3,North America
134,84005042,"USA, Alaska: Alaska Natives (2008-2012)",42,3,North America
