8000	Neoplasm, malignant
8001	Tumor cells, malignant
8002	Malignant tumor, small cell type
8003	Malignant tumor, giant cell type
8004	Malignant tumor, spindle cell type
8005	Malignant tumor, clear cell type
8010	Carcinoma, NOS
8011	Epithelioma, malignant
8012	Large cell carcinoma, NOS
8013	Large cell neuroendocrine carcinoma
8014	Large cell carcinoma with rhabdoid phenotype
8015	Glassy cell carcinoma
8020	Carcinoma, undifferentiated, NOS
8021	Carcinoma, anaplastic, NOS
8022	Pleomorphic carcinoma
8030	Giant cell and spindle cell carcinoma
8031	Giant cell carcinoma
8032	Spindle cell carcinoma, NOS
8033	Pseudosarcomatous carcinoma
8034	Polygonal cell carcinoma
8035	Carcinoma with osteoclast-like giant cells
8041	Small cell carcinoma, NOS
8042	Oat cell carcinoma
8043	Small cell carcinoma, fusiform cell
8044	Small cell carcinoma, intermediate cell
8045	Combined small cell carcinoma
8046	Non-small cell carcinoma
8050	Papillary carcinoma, NOS
8051	Verrucous carcinoma, NOS
8052	Papillary squamous cell carcinoma
8070	Squamous cell carcinoma, NOS
8071	Squamous cell carcinoma, keratinizing, NOS
8072	Squamous cell carcinoma, large cell, nonkerati
8073	Squamous cell carcinoma, small cell, nonkerati
8074	Squamous cell carcinoma, spindle cell
8075	Squamous cell carcinoma, adenoid
8076	Squamous cell carcinoma, microinvasive
8078	Squamous cell carcinoma with horn formation
8082	Lymphoepithelial carcinoma
8083	Basaloid squamous cell carcinoma
8084	Squamous cell carcinoma, clear cell type
8090	Basal cell carcinoma, NOS
8091	Multifocal superficial basal cell carcinoma
8092	Infiltrating basal cell carcinoma, NOS
8093	Basal cell carcinoma, fibroepithelial
8094	Basosquamous carcinoma
8095	Metatypical carcinoma
8097	Basal cell carcinoma, nodular
8098	Adenoid basal carcinoma
8102	Trichilemmocarcinoma
8110	Pilomatrix carcinoma
8120	Transitional cell carcinoma, NOS
8121	Schneiderian carcinoma
8122	Transitional cell carcinoma, spindle cell
8123	Basaloid carcinoma
8124	Cloacogenic carcinoma
8130	Papillary transitional cell carcinoma
8131	Transitional cell carcinoma, micropapillary
8140	Adenocarcinoma, NOS
8141	Scirrhous adenocarcinoma
8142	Linitis plastica
8143	Superficial spreading adenocarcinoma
8144	Adenocarcinoma, intestinal type
8145	Carcinoma, diffuse type
8147	Basal cell adenocarcinoma
8150	Islet cell carcinoma
8151	Insulinoma, malignant
8152	Glucagonoma, malignant
8153	Gastrinoma, malignant
8154	Mixed islet cell and exocrine adenocarcinoma
8155	Vipoma, malignant
8156	Somatostatinoma, malignant
8157	Enteroglucagonoma, malignant
8160	Cholangiocarcinoma
8161	Bile duct cystadenocarcinoma
8162	Klatskin tumor
8170	Hepatocellular carcinoma, NOS
8171	Hepatocellular carcinoma, fibrolamellar
8172	Hepatocellular carcinoma, scirrhous
8173	Hepatocellular carcinoma, spindle cell  varian
8174	Hepatocellular carcinoma, clear cell type
8175	Hepatocellular carcinoma, pleomorphic type
8180	Combined hepatocellular carcinoma and cholangi
8190	Trabecular adenocarcinoma
8200	Adenoid cystic carcinoma
8201	Cribriform carcinoma, NOS
8210	Adenocarcinoma in adenomatous polyp
8211	Tubular adenocarcinoma
8214	Parietal cell carcinoma
8215	Adenocarcinoma of anal glands
8220	Adenocarcinoma in adenomatous polyposis  coli
8221	Adenocarcinoma in multiple adenomatous  polyps
8230	Solid carcinoma, NOS
8231	Carcinoma simplex
8240	Carcinoid tumor, NOS
8241	Enterochromaffin cell carcinoid
8242	Enterochromaffin-like cell tumor, malignant
8243	Goblet cell carcinoid
8244	Composite carcinoid
8245	Adenocarcinoid tumor
8246	Neuroendocrine carcinoma, NOS
8247	Merkel cell carcinoma
8249	A typical carcinoid tumor
8250	Bronchiolo-alveolar adenocarcinoma, NOS
8251	Alveolar adenocarcinoma
8252	Bronchiolo-alveolar carcinoma, non-  mucinous
8253	Bronchiolo-alveolar carcinoma, mucinous
8254	Bronchiolo-alveolar carcinoma, mixed  mucinous
8255	Adenocarcinoma with mixed subtypes
8260	Papillary adenocarcinoma, NOS
8261	Adenocarcinoma in villous adenoma
8262	Villous adenocarcinoma
8263	Adenocarcinoma in tubulovillous adenoma
8270	Chromophobe carcinoma
8272	Pituitary carcinoma, NOS
8280	Acidophil carcinoma
8281	Mixed acidophil-basophil carcinoma
8290	Oxyphilic adenocarcinoma
8300	Basophil carcinoma
8310	Clear cell adenocarcinoma, NOS
8312	Renal cell carcinoma, NOS
8313	Clear cell adenocarcinofibroma
8314	Lipid-rich carcinoma
8315	Glycogen-rich carcinoma
8316	Cyst-associated renal cell carcinoma
